CUST_NO,end_dat,FLAG
7955371022653289,43031,0
7951375355025259,43123,0
7910375605058052,43000,0
7973763710479399,43276,0
7950764521117988,43123,0
7954762290762452,43031,0
7937666664107909,43214,0
7953362271113998,43276,0
7950666667357602,43153,0
7990765340573549,43031,0
7913365626731962,43184,0
7905764622164038,43000,0
7991366703704419,43153,0
7907764558744318,43214,1
7911363743230772,43153,0
7950307104009079,43000,0
7937376897064369,43245,0
7917776553974579,43031,0
7954068021842792,43276,1
7910361616845952,43031,0
7973361810758588,43184,0
7993369207059902,43214,1
7915777177374952,43184,0
7954366666382988,43092,0
7953761918296218,43000,0
7915779655859128,43184,0
7937766674663582,43245,0
7917306120072848,43184,1
7935376665471018,43153,0
7911367068189732,43092,0
7950376853321258,43276,0
7997363060676012,43184,1
7973363645621832,43214,0
7907761476384192,43031,0
7971373091514118,43184,0
7953762970345969,43031,0
7959367704207318,43092,0
7976366703767392,43245,0
7953765420613519,43123,0
7951366660716542,43184,0
7915367282312422,43245,0
7937371005526812,43214,0
7915366666189039,43031,0
7933764283829698,43000,0
7933365277279569,43092,0
7954300170380748,43276,0
7927366239839642,43214,0
7911060772766269,43184,0
7913367263616279,43153,0
7975764818451968,43031,0
7915771094722588,43000,0
7930666665068429,43245,0
7955666600300168,43031,0
7913360179051938,43031,0
7953764904491912,43031,0
7937069900445028,43031,0
7927766291450502,43031,0
7913777534395528,43123,1
7957763551882939,43000,0
7913762005141082,43000,0
7935360286126312,43153,0
7954302240851038,43184,0
7907377483378042,43031,0
7957369138707319,43245,0
7973765971579352,43276,0
7953761460155099,43153,0
7935361515256278,43061,0
7937365993378219,43153,0
7911373301473428,43276,0
7935764952240839,43031,0
7907376571210999,43276,0
7911060828619602,43184,0
7955675025580152,43245,0
7913763271644949,43092,0
7957365275545618,43031,0
7935360082205579,43245,0
7907375269154232,43031,1
7959763241115109,43276,0
7933666660506069,43031,0
7937360331114572,43214,0
7913566672169682,43031,0
7976366769605892,43031,0
7954363723839408,43184,0
7953365957126358,43184,0
7905366476822439,43245,0
7953367231389502,43000,0
7927362196226699,43092,0
7953765846868988,43031,0
7911067230191788,43184,0
7930365227108699,43153,0
7915779650899372,43000,0
7920767654129429,43153,0
7977366508373068,43061,0
7927366501834229,43214,0
7955667315463192,43184,0
7925366695379289,43000,1
7953365074464398,43276,0
7975768643532148,43031,0
7937365796648369,43061,1
7954378164454438,43276,0
7950760493124072,43153,0
7951372347624638,43184,1
7910370913236118,43031,0
7990369661750412,43153,1
7911376654588208,43214,0
7913362593938578,43031,0
7959369121809858,43092,1
7917364623011608,43245,1
7911666676516582,43276,0
7970760455670552,43123,0
7907364716958809,43245,0
7950302637808872,43000,0
7927362351894122,43184,0
7951666666816432,43276,0
7990764758883768,43184,0
7911066739238069,43184,0
7937374139265068,43184,0
7950369226580619,43123,0
7937766619443738,43031,0
7957369843096208,43276,0
7953567663984362,43031,0
7957365541360109,43184,0
7911307776031368,43214,1
7930376457494269,43092,0
7955666676261332,43061,0
7937301075424592,43276,0
7911367911887619,43092,0
7915768108061712,43276,0
7953377833070309,43276,0
7975365358577442,43153,0
7957360175112979,43123,0
7951369003533998,43245,0
7954366666376609,43031,0
7933367482192039,43031,0
7954371638765182,43031,0
7911367442029499,43245,1
7911373587827342,43214,0
7991766421691609,43214,0
7935363781586642,43031,0
7910762711783729,43092,0
7900369150112399,43245,0
7910356396542239,43245,0
7975362802251649,43031,1
7915307070299522,43000,1
7953763237076578,43092,0
7907363386358032,43214,0
7997360718588402,43184,0
7911069994297019,43123,0
7935761535277758,43031,0
7977366565769659,43031,0
7937303888330839,43214,0
7913360783947692,43214,1
7927363751116879,43061,0
7915762086272022,43276,0
7927362595085368,43031,0
7971765226485319,43276,0
7970763559598159,43031,0
7953776728357318,43000,0
7935367031731478,43276,0
7975761702089459,43276,0
7911304151194159,43061,0
7937377248353118,43000,0
7911308128776458,43276,0
7910379982478488,43153,0
7933763749752798,43031,0
7930666667298742,43031,0
7955671022570152,43276,0
7973366619068959,43123,0
7935369639818569,43000,0
7927766898684138,43214,0
7937371577419559,43276,1
7937300712809718,43214,1
7957762288309509,43153,0
7951368709598292,43123,1
7950363148945612,43031,0
7937073583423929,43031,0
7951377187456849,43214,0
7913377664852912,43123,0
7971367802393778,43184,0
7951365446425459,43245,0
7927760693343342,43184,0
7970760974586948,43123,0
7957361230704829,43031,0
7911062068112922,43031,0
7917762558708279,43061,0
7973369724722472,43245,0
7953379813271572,43276,0
7977363893877832,43000,0
7907769226617162,43092,1
7920365432147492,43276,0
7990763552408998,43276,0
7913769774707958,43214,0
7993366176896788,43031,0
7913376930349588,43214,0
7975370325652262,43123,0
7925366957823419,43000,0
7913365986646438,43031,0
7997369392709069,43000,0
7955676163006472,43031,0
